player_id,player_name,player_nickname,jersey_number,country,team_id,team_name
3089,Kevin De Bruyne,,17,"{'id': 22, 'name': 'Belgium'}",36,Manchester City
3090,Nicolás Hernán Otamendi,Nicolás Otamendi,23,"{'id': 11, 'name': 'Argentina'}",207,Valencia
3091,Moussa Sissoko,,17,"{'id': 78, 'name': 'France'}",38,Tottenham Hotspur
3092,Dwight Gayle,,16,"{'id': 68, 'name': 'England'}",31,Crystal Palace
3093,Florian Grégoire Claude Lejeune,,20,"{'id': 78, 'name': 'France'}",322,Eibar
3094,Bamidele Alli,Dele Alli,20,"{'id': 68, 'name': 'England'}",38,Tottenham Hotspur
3095,Bruno Saltor Grau,Bruno Saltor,2,"{'id': 214, 'name': 'Spain'}",403,Almería
3096,Rob Elliot,,21,"{'id': 109, 'name': 'Ireland'}",37,Newcastle United
3097,Pascal Groß,,10,"{'id': 85, 'name': 'Germany'}",189,Ingolstadt
3098,Victor Wanyama,,12,"{'id': 118, 'name': 'Kenya'}",38,Tottenham Hotspur
3099,Hugo Lloris,,1,"{'id': 78, 'name': 'France'}",38,Tottenham Hotspur
3101,Vincent Kompany,,4,"{'id': 22, 'name': 'Belgium'}",36,Manchester City
3102,Yann Jouffre,,8,"{'id': 78, 'name': 'France'}",165,Lorient
3103,Milan Biševac,,5,"{'id': 203, 'name': 'Serbia'}",137,Lyon
3105,Gauthier Hein,,7,"{'id': 78, 'name': 'France'}",167,Auxerre
3108,Baptiste Santamaría,,8,"{'id': 78, 'name': 'France'}",134,Rennes
3109,Malcom Filipe Silva de Oliveira,Malcom,14,"{'id': 31, 'name': 'Brazil'}",217,Barcelona
3111,Gilles Sunu,,10,"{'id': 228, 'name': 'Togo'}",145,Angers
3112,Anton Ciprian Tătărușanu,Ciprian Tătăruşanu,12,"{'id': 187, 'name': 'Romania'}",239,Fiorentina
3114,Emiliano Sala,,22,"{'id': 11, 'name': 'Argentina'}",144,Nantes
3117,Lucas Tousart,,29,"{'id': 78, 'name': 'France'}",190,Union Berlin
3118,Jordan Ferri,,12,"{'id': 78, 'name': 'France'}",139,Montpellier
3121,Moustapha Elhadji Diallo,Mustapha Diallo,5,"{'id': 202, 'name': 'Senegal'}",142,Guingamp
3122,Yannis Salibur,,16,"{'id': 78, 'name': 'France'}",1043,Mallorca
